module_id	module_name	tier	source_org_count	source_orgs
M00161	Photosystem II	A	2	syn,syz
M00163	Photosystem I	A	2	syn,syz
M00165	Reductive pentose phosphate cycle (Calvin cycle)	A	2	syn,syz
M00168	CAM (Crassulacean acid metabolism), dark	A	19	aba,afr,bba,bsed,ccz,cprv,cte,dra,ecj,eco,gau,hin,hit,lpro,rba,rmr,syn,syz,tro
M00169	CAM (Crassulacean acid metabolism), light	A	15	ade,bba,bth,btho,caby,ddf,din,gsk,gsu,ial,ote,rpo,rpr,ttk,vbl
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	A	1	cte
M00175	Nitrogen fixation, nitrogen => ammonia	A	9	afr,cac,cae,cte,det,fsu,gsk,gsu,tye
M00176	Assimilatory sulfate reduction, sulfate => H2S	A	12	afr,bsr,bsu,dra,ecj,eco,nli,ote,rba,syn,syz,vab
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA	A	67	aae,aba,ade,afr,alam,apr,apv,bba,bsed,bsr,bsu,bth,btho,caby,cac,caci,cae,ccz,cex,cpo,cprv,ctd,cte,ctr,ddf,det,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,mbf,mmy,mmym,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	A	7	ade,bba,bsed,cprv,gau,ial,vab
M00345	Formaldehyde assimilation, ribulose monophosphate pathway	A	5	alam,bsr,bsu,cac,cae
M00364	C10-C20 isoprenoid biosynthesis, bacteria	A	18	apr,bba,bsed,bsr,bsu,caby,cprv,cte,dra,ecj,eco,fma,fml,ial,syn,syz,vab,vbl
M00416	Cytochrome aa3-600 menaquinol oxidase	A	2	bsr,bsu
M00417	Cytochrome o ubiquinol oxidase	A	3	afr,ecj,eco
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	A	44	aba,ade,afr,alam,bsr,bsu,bth,btho,caby,cac,cae,ccz,cte,ddf,det,din,dra,dth,ecj,eco,fml,fsu,gsk,gsu,hin,hit,lpro,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate	A	1	dra
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	A	2	bsr,bsu
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	A	7	bsed,bth,btho,din,emi,fsu,ote
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	A	26	aae,alam,bth,btho,cac,cae,ccz,ddf,det,dth,emi,fsu,gau,gsk,gsu,lpro,mbf,nli,ote,syn,syz,tnr,ttk,tye,vai,vbl
M00530	Dissimilatory nitrate reduction, nitrate => ammonia	A	4	ade,din,ecj,eco
M00531	Assimilatory nitrate reduction, nitrate => ammonia	A	6	bsr,bsu,lpro,rmr,syn,syz
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	A	2	bth,btho
M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	A	2	ecj,eco
M00549	UDP-Glc biosynthesis, Glc => UDP-Glc	A	30	ade,afr,alam,apv,bba,bsed,bsr,bsu,cac,caci,cae,ddf,dth,ecj,eco,fnu,heo,hpy,lpro,mmy,mmym,nli,nme,nmp,ote,rba,syn,syz,tai,tye
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P	A	3	ecj,eco,fvg
M00552	Galactonate degradation, De Ley-Doudoroff pathway, galactonate => glycerate-3P	A	3	ecj,eco,lpro
M00554	UDP-Gal biosynthesis, Gal => UDP-Gal	A	16	aba,apv,bsr,bsu,cac,cae,ccz,dth,ecj,eco,emi,fnu,hin,hit,rmr,tma
